"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62"
"future_column","SE:T1. Total Population","Total Population","SE:T2. Population Density (per Sq. Mile)","Total Population","Population Density (Per Sq. Mile)","Area (Land)","SE:T57. Median Household Income (In 2016 Inflation Adjusted Dollars)","Median Household Income (In 2016 Inflation Adjusted Dollars)","SE:T61. Median Family Income (In 2016 Inflation Adjusted Dollars)","Median Family Income (In 2016 Inflation Adjusted Dollars)","SE:T157. Gini Index of Income Inequality","Gini Index","SE:T93. Housing Units","Housing Units","SE:T238. Total Population in Renter Occupied Housing Units by Units in Structure","Total Population in Renter Occupied Housing Units:","1, Detached or Attached","2 To 4","5 or More","Mobile Home","Boat, Rv, Van, Etc.","SE:T101. Median House Value for All Owner-Occupied Housing Units","Median Value","SE:T104. Median Gross Rent","Median Gross Rent","SE:T105. Median Gross Rent as a Percentage of Household Income in The Past 12 Months (Dollars)","Median Gross Rent as a Percentage of Household  Income in The Past 12 Months (Dollars)","SE:T112. Median Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months (Dollars) and Mortgage Status","Median Selected Monthly Owner Costs as a Percentage of Household Income:","Housing Units with a Mortgage","Housing Units Without a Mortgage","SE:T225. Monthly Housing Costs as a Percentage of Household Income in the Past 12 Months (Renter-Occupied Housing Units)","Renter-Occupied Housing Units:","Less Than $20,000:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$20,000 To $34,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$35,000 To $49,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$50,000 To $74,999:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","$75,000 or More:","Less Than 20 Percent","20 To 29 Percent","30 Percent or More","Zero or Negative Income","No Cash Rent","SE:T147. Average Commute to Work (in Min)","Average Commute to Work (in Min)","SE:T142. Owner-Occupied Housing Units","Owner-Occupied Housing Units","Note:","For data sources, citations and notes please take a look at sheet in this workbook titled 'Sources & Notes.'","© Social Explorer 2005-2018"
"Sunnyvale city, California",NA,"149,596",NA,"149,596","6,803.70","21.99",NA,"$109,799",NA,"$127,865",NA,"0.43",NA,"57,948",NA,"78,282","21,716","12,273","42,278","1,997","18",NA,"$859,100",NA,"$1,949",NA,"24.20%",NA,"19.00%","22.70%","10.00%",NA,"29,772","2,120","44","94","1,982","2,520","44","143","2,333","2,109","58","172","1,879","3,454","132","1,036","2,286","18,592","10,326","6,298","1,968","269","708",NA,"24",NA,"25,756",NA,NA,NA
"X317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27.70%","15.70%","54.00%","2.60%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.10%","0.20%","0.30%","6.70%","8.50%","0.20%","0.50%","7.80%","7.10%","0.20%","0.60%","6.30%","11.60%","0.40%","3.50%","7.70%","62.50%","34.70%","21.20%","6.60%","0.90%","2.40%",NA,NA,NA,NA,NA,NA,NA
"Sunol CDP, California",NA,"1,004",NA,"1,004","36.2","27.75",NA,"$90,682",NA,"$109,375",NA,"0.5",NA,"419",NA,"303","275","0","0","28","0",NA,"$791,700",NA,"$1,401",NA,"29.50%",NA,"19.60%","25.20%","10.00%",NA,"99","7","0","0","7","9","0","0","9","10","0","0","10","33","0","15","18","32","24","8","0","0","8",NA,"34",NA,"275",NA,NA,NA
"X319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90.80%","0.00%","0.00%","9.20%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7.10%","0.00%","0.00%","7.10%","9.10%","0.00%","0.00%","9.10%","10.10%","0.00%","0.00%","10.10%","33.30%","0.00%","15.20%","18.20%","32.30%","24.20%","8.10%","0.00%","0.00%","8.10%",NA,NA,NA,NA,NA,NA,NA
"Tamalpais-Homestead Valley CDP, California",NA,"10,605",NA,"10,605","2,286.90","4.64",NA,"$142,688",NA,"$182,779",NA,"0.47",NA,"4,712",NA,"2,501","2,147","247","107","0","0",NA,"$1,031,300",NA,"$2,508",NA,"22.40%",NA,"21.60%","23.60%","12.80%",NA,"1,031","68","0","0","68","36","0","0","36","90","0","0","90","42","0","8","34","724","404","201","119","19","52",NA,"33",NA,"3,316",NA,NA,NA
"X321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"85.90%","9.90%","4.30%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.60%","0.00%","0.00%","6.60%","3.50%","0.00%","0.00%","3.50%","8.70%","0.00%","0.00%","8.70%","4.10%","0.00%","0.80%","3.30%","70.20%","39.20%","19.50%","11.50%","1.80%","5.00%",NA,NA,NA,NA,NA,NA,NA
"Tara Hills CDP, California",NA,"4,950",NA,"4,950","7,752.50","0.64",NA,"$63,125",NA,"$83,875",NA,"0.4",NA,"1,806",NA,"1,723","1,339","40","344","0","0",NA,"$310,500",NA,"$1,289",NA,"44.10%",NA,"21.90%","24.70%","10.70%",NA,"623","210","0","13","197","101","0","0","101","61","0","0","61","57","0","0","57","154","125","29","0","40","0",NA,"32",NA,"1,046",NA,NA,NA
"X323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77.70%","2.30%","20.00%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.70%","0.00%","2.10%","31.60%","16.20%","0.00%","0.00%","16.20%","9.80%","0.00%","0.00%","9.80%","9.20%","0.00%","0.00%","9.20%","24.70%","20.10%","4.70%","0.00%","6.40%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Tiburon town, California",NA,"9,170",NA,"9,170","2,062.50","4.45",NA,"$149,510",NA,"$194,545",NA,"0.54",NA,"4,207",NA,"2,756","920","654","1,182","0","0",NA,"$1,847,800",NA,"$2,275",NA,"21.80%",NA,"22.40%","26.50%","13.10%",NA,"1,272","110","0","10","100","62","0","0","62","51","19","0","32","111","15","20","76","847","494","202","151","15","76",NA,"32",NA,"2,566",NA,NA,NA
"X325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.40%","23.70%","42.90%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.70%","0.00%","0.80%","7.90%","4.90%","0.00%","0.00%","4.90%","4.00%","1.50%","0.00%","2.50%","8.70%","1.20%","1.60%","6.00%","66.60%","38.80%","15.90%","11.90%","1.20%","6.00%",NA,NA,NA,NA,NA,NA,NA
"Twin Lakes CDP, California",NA,"5,378",NA,"5,378","7,789.90","0.69",NA,"$51,446",NA,"$68,409",NA,"0.53",NA,"2,802",NA,"3,651","770","1,727","1,154","0","0",NA,"$659,000",NA,"$1,410",NA,"36.20%",NA,"19.00%","28.20%","13.00%",NA,"1,459","276","41","19","216","331","0","14","317","144","0","0","144","400","13","216","171","292","215","65","12","16","0",NA,"23",NA,"912",NA,NA,NA
"X327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21.10%","47.30%","31.60%","0.00%","0.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18.90%","2.80%","1.30%","14.80%","22.70%","0.00%","1.00%","21.70%","9.90%","0.00%","0.00%","9.90%","27.40%","0.90%","14.80%","11.70%","20.00%","14.70%","4.50%","0.80%","1.10%","0.00%",NA,NA,NA,NA,NA,NA,NA
"Union City city, California",NA,"73,500",NA,"73,500","3,775.20","19.47",NA,"$91,629",NA,"$98,499",NA,"0.4",NA,"21,645",NA,"25,035","14,331","1,868","8,703","110","23",NA,"$561,200",NA,"$1,756",NA,"30.50%",NA,"22.40%","25.90%","10.00%",NA,"7,208","910","19","144","747","724","14","77","633","743","8","32","703","1,452","9","345","1,098","2,988","1,488","1,184","316","121","270",NA,"33",NA,"13,490",NA,NA,NA
